site_id,facultative,intolerant,tolerant,<NA>,,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
11-GORN-6.0,64,6,145,0,,60.41668406,14.82586542,68.75,15.82417582,46.66666667,32.63361006,1,3.16310491
11-MOSE-12.8,182,2,32,0,,35.30819868,89.25425925,59.375,43.26923077,40,66.76319835,2,5.730393806
11-ROWL-0.5,189,11,15,0,,65.94797712,93.71038773,90.625,65.93406593,93.33333333,85.52968392,2,10
11-SRUN-3.8,120,1,49,0,,22.32125884,7.280558912,15.625,15.38461538,0,0,3,0
11-TEET-0.8,115,12,69,7,,97.86417384,90.93145291,71.875,69.23076923,46.66666667,88.74039718,1,9.285204601
11-TOMH-12.2,56,0,157,0,,15.49548638,13.7552742,18.75,72.87449393,6.666666667,57.18359917,1,1.690944659
12-ALPL_T11-2.1,105,22,120,0,,51.90327012,43.44575947,90.625,52.74725275,80,90.45718113,2,7.765989699
12-BARK-0.6,102,61,41,0,,100,56.88396281,78.125,65.58704453,80,78.55296404,2,9.118491841
13-BASC_T17-2.4,134,9,69,0,,59.5643779,51.53212067,65.625,48.86877828,66.66666667,69.34642137,1,6.478321725
13-BLKH-8.2,94,6,99,2,,49.64763257,62.9006044,50,66.84350133,33.33333333,75.62549487,2,5.848961309
13-BLKK-1.1,32,8,172,0,,19.36248772,11.86785218,34.375,57.69230769,33.33333333,65.3267055,2,2.698670745
13-EBCR-16.3,113,15,72,2,,81.7249409,64.63816944,78.125,58.29959514,66.66666667,71.09185395,1,8.073669648
13-FISH-16.3,65,9,22,0,,25.67324955,51.64416662,9.375,100,20,69.88877648,2,4.177110974
13-IDNK-0.5,151,7,49,0,,38.30041891,79.27080217,37.5,66.46153846,30,56.50052806,1,5.028393611
13-NOST-0.3,115,27,75,0,,70.71457528,23.75814839,100,49.23076923,80,80.82117571,2,7.640030053
13-QKER-0.9,114,4,21,0,,36.99159165,100,21.875,41.53846154,6.666666667,45.43078964,2,3.525397155
13-QKER-1.0,35,0,166,9,,36.64529367,41.29432158,46.875,9.89010989,13.33333333,0,2,0.697961541
13-RHIN-4.3,148,5,75,0,,8.504204857,4.449230446,15.625,30.76923077,26.66666667,29.96730817,2,0
13-RIOG-0.7,185,1,15,0,,11.19001045,63.60967135,9.375,17.30769231,10,0,2,0
13-SPRO-9.2,50,7,124,0,,56.40318597,27.26705221,50,28.64721485,43.33333333,44.99468288,2,3.47513449
13-WALK_T25-1.5,180,2,109,1,,27.87929466,37.08279695,50,57.29442971,26.66666667,76.3486889,2,4.141673023
13-WALK-35.6,17,0,1,0,,21.54398564,49.66468806,0,0,0,0,2,0
13-WBLKK-8.9,58,26,150,4,,51.80212121,39.6175868,90.625,52.74725275,60,87.09384764,1,7.027286493
13-WKLEI-0.6,38,5,10,0,,59.5643779,83.12908031,12.5,48.86877828,16.66666667,47.61726414,2,3.954221716
14-HURL-2.8,153,24,32,8,,89.89567217,61.85170813,87.5,74.29643527,83.33333333,97.27959385,1,10
14-TENR-3.7,155,29,19,4,,100,75.82823076,93.75,100,93.33333333,100,1,10
14-WLAK-5.8,225,21,68,2,,74.44037907,70.21117438,100,64.81178396,76.66666667,86.44460228,1,9.481870177
15-HACK-3.3,68,95,36,7,,31.80701051,91.48357491,21.875,27.69230769,16.66666667,23.55911994,2,2.458486813
15-MAWA-3.7,115,8,75,4,,40.51406936,17.36586959,62.5,58.74125874,60,86.9206893,1,5.515814497
15-RAMA-13.7,185,3,34,3,,39.60263315,76.90231304,50,38.19628647,46.66666667,62.60091822,2,5.18904471
16-AMEN_T2-1.1,212,16,49,10,,100,84.15037725,96.875,37.76223776,90,53.99252287,2,9.21677302
16-BOGH-0.3,142,14,45,0,,75.28604732,74.95474249,71.875,100,66.66666667,100,1,9.92055197
16-SWEL-0.1,138,62,13,0,,92.73016917,57.24804254,78.125,43.72469636,76.66666667,70.05742941,2,8.019694021
16-SWMP-6.8,76,0,125,0,,51.61981832,37.37419432,40.625,31.95266272,16.66666667,48.95041509,2,2.840254944
16-WEBA_T4-1.3,98,67,39,0,,80.81106769,75.04858959,87.5,27.01688555,70,41.88890856,2,7.037561913
16-WEBA-23.3,89,0,110,2,,24.00921782,21.7747215,28.125,12.58741259,23.33333333,0,1,0
17-BRWN-0.9,269,10,51,1,,31.62388063,98.27254827,31.25,0,16.66666667,0,2,1.503852918
17-BVDC-0.4,248,1,68,0,,32.90271792,40.72269028,25,0,13.33333333,0,2,0
17-CARL-0.8,161,35,7,0,,94.93504082,86.71896651,68.75,55.38461538,73.33333333,82.67039772,2,9.190037648
17-CARM-12.9,140,3,93,6,,44.20374794,49.92643729,65.625,8.14479638,30,0,2,2.047524727
17-CARM-9.0,110,54,51,1,,78.43606623,42.40660001,81.25,92.30769231,73.33333333,85.68276125,2,8.963335459
17-EMED-0.4,40,0,5,0,,10.5326152,100,0,27.69230769,3.333333333,0,3,0.522579165
17-GREN-0.8,159,0,58,2,,57.29322938,34.47964706,40.625,0,20,0,3,0.815964407
17-MASS-1.2,91,1,290,0,,34.68844878,14.67662725,59.375,25.96153846,33.33333333,49.66600798,2,2.583458042
17-MBUR-2.1,20,0,192,8,,9.231271422,4.460595873,9.375,0,0,0,3,0
17-MIAN-14.2,173,3,44,0,,42.56569283,47.8651621,43.75,61.53846154,40,71.71629278,2,5.012216845
17-MUDL-1.4,118,3,115,0,,71.65505279,41.88097576,53.125,0,26.66666667,0,2,1.923771189
17-NISS_E-2.6,151,0,50,0,,48.6615397,65.02780524,21.875,0,10,0,3,0.631007992
17-NISS-4.7,172,21,38,0,,54.57809695,76.40050237,81.25,49.70414201,53.33333333,57.16198321,2,6.771302946
17-OROW-0.6,64,3,148,1,,2.274087373,0,6.25,55.38461538,0,48.95041509,3,0
17-PECN-12.4,2,0,6,1,,0,17.99303111,0,0,0,0,2,0
17-PECN-8.9,171,11,26,3,,36.41716372,60.62218075,46.875,39.56043956,36.66666667,52.81404227,1,4.078977759
17-PENA-1.4,24,0,179,0,,8.037427811,8.085887192,21.875,27.69230769,10,29.96730817,3,0
17-SAMP-2.1,182,0,128,0,,55.00434355,61.72035103,53.125,0,36.66666667,0,3,2.280735722
17-SANT-1.7,111,0,61,0,,9.252223289,96.5276921,6.25,18.46153846,0,0,3,0.223045009
17-SWML-1.4,12,1,27,0,,43.01615799,86.08709355,6.25,18.46153846,0,0,3,0.8543146
17-TERR-0.2,170,15,19,3,,54.57809695,70.32011651,40.625,10.65088757,33.33333333,0,2,2.36169213
