site_id,filterer,gatherer,predator,scraper,shredder,<NA>,,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
16-WEBA-23.3,10,151,9,22,7,2,,24.00921782,21.7747215,28.125,12.58741259,23.33333333,0,1,0
17-BRWN-0.9,194,71,19,0,32,15,,31.62388063,98.27254827,31.25,0,16.66666667,0,2,1.503852918
17-BVDC-0.4,101,196,14,1,5,0,,32.90271792,40.72269028,25,0,13.33333333,0,2,0
17-CARL-0.8,73,60,23,32,15,0,,94.93504082,86.71896651,68.75,55.38461538,73.33333333,82.67039772,2,9.190037648
17-CARM-12.9,69,134,29,0,4,6,,44.20374794,49.92643729,65.625,8.14479638,30,0,2,2.047524727
17-CARM-9.0,37,131,39,3,5,1,,78.43606623,42.40660001,81.25,92.30769231,73.33333333,85.68276125,2,8.963335459
17-EMED-0.4,34,3,4,0,4,0,,10.5326152,100,0,27.69230769,3.333333333,0,3,0.522579165
17-GREN-0.8,25,145,33,12,2,2,,57.29322938,34.47964706,40.625,0,20,0,3,0.815964407
17-MASS-1.2,27,306,20,24,5,0,,34.68844878,14.67662725,59.375,25.96153846,33.33333333,49.66600798,2,2.583458042
17-MBUR-2.1,8,192,11,1,0,8,,9.231271422,4.460595873,9.375,0,0,0,3,0
17-MIAN-14.2,34,125,42,11,8,0,,42.56569283,47.8651621,43.75,61.53846154,40,71.71629278,2,5.012216845
17-MUDL-1.4,51,144,29,8,4,0,,71.65505279,41.88097576,53.125,0,26.66666667,0,2,1.923771189
17-NISS_E-2.6,72,90,34,4,0,1,,48.6615397,65.02780524,21.875,0,10,0,3,0.631007992
17-NISS-4.7,95,85,14,16,21,0,,54.57809695,76.40050237,81.25,49.70414201,53.33333333,57.16198321,2,6.771302946
17-OROW-0.6,1,204,2,2,6,1,,2.274087373,0,6.25,55.38461538,0,48.95041509,3,0
17-PECN-12.4,0,7,0,0,1,1,,0,17.99303111,0,0,0,0,2,0
17-PECN-8.9,82,101,12,9,4,3,,36.41716372,60.62218075,46.875,39.56043956,36.66666667,52.81404227,1,4.078977759
17-PENA-1.4,11,172,17,2,1,0,,8.037427811,8.085887192,21.875,27.69230769,10,29.96730817,3,0
17-SAMP-2.1,116,146,29,2,16,1,,55.00434355,61.72035103,53.125,0,36.66666667,0,3,2.280735722
17-SANT-1.7,100,39,27,5,1,0,,9.252223289,96.5276921,6.25,18.46153846,0,0,3,0.223045009
17-SWML-1.4,2,12,3,1,8,14,,43.01615799,86.08709355,6.25,18.46153846,0,0,3,0.8543146
17-TERR-0.2,39,85,43,2,35,3,,54.57809695,70.32011651,40.625,10.65088757,33.33333333,0,2,2.36169213
