"site_id","sample_date","sys_sample_code","sample_source","sample_matrix_code","dec_sample_type_cde","lab_sample_type_cde","sample_type_code_combined","chemical_name","fraction","result_value","result_unit","lab_qualifiers","interpreted_qualifiers","validator_qualifiers","validator_qual_expln","validator_qualifiers_equis","method_detection_limit","reporting_detection_limit","quantitation_limit","detection_limit_unit","event_id"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","aluminum","TOTAL",8.8,"ug/l","J","J","","","",2.7,NA,10,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","arsenic","TOTAL",NA,"ug/l","U","U","","","",0.389,0.389,1,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","cadmium","TOTAL",NA,"ug/l","U","U","","","",0.182,0.182,1,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","copper","TOTAL",NA,"ug/l","U","U","","","",0.652,0.652,1,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","lead","TOTAL",NA,"ug/l","U","U","","","",0.405,0.405,1,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","calcium","TOTAL",51800,"ug/l","","","","","",71.1,NA,1000,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","nickel","TOTAL",1.4,"ug/l","","","","","",0.45,NA,1,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","silver","TOTAL",NA,"ug/l","U","U","","","",0.131,0.131,1,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","zinc","TOTAL",NA,"ug/l","U","U","","","",3,3,5,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","iron","TOTAL",487,"ug/l","","","","","",55.4,NA,100,"ug/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","magnesium","TOTAL",18700,"ug/l","","","","","",110,NA,1000,"ug/l","16-SWMP-6.8_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","alkalinity, total (as caco3)","TOTAL",119,"mg/l","","","","","",1,NA,2,"mg/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","nitrogen, ammonia (as n)","TOTAL",0.0285,"mg/l","","","","","",8e-04,NA,0.005,"mg/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","chloride (as cl)","TOTAL",60.6,"mg/l","","","","","",0.2,NA,2,"mg/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","conductivity at 25 degrees celsius","TOTAL",438,"umhos/cm","","","","","",NA,NA,NA,"umhos/cm","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","hardness (as caco3)","TOTAL",137,"mg/l","","","","","",NA,NA,6.62,"mg/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","nitrogen, nitrate (as n)","TOTAL",0.057,"mg/l","","","","","",NA,NA,0.01,"mg/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","nitrate+nitrite as nitrogen","TOTAL",0.0569,"mg/l","","","","","",7e-04,NA,0.002,"mg/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","nitrogen, nitrite","TOTAL",NA,"mg/l","U","U","","","",0.002,0.002,0.01,"mg/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","ph","TOTAL",7.68,"pH units","H","H","","","",NA,NA,NA,"pH units","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","phosphorus, total (as p)","TOTAL",0.0393,"mg/l","","","","","",0.002,NA,0.003,"mg/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","temperature of ph analysis","TOTAL",22.6,"deg c","H","H","","","",NA,NA,NA,"deg c","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","turbidity","TOTAL",2.6,"ntu","","","","","",0.06,NA,0.1,"ntu","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","aluminum","TOTAL",39,"ug/l","","","","","",2.7,NA,10,"ug/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","arsenic","TOTAL",NA,"ug/l","U","U","","","",0.389,0.389,1,"ug/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","cadmium","TOTAL",NA,"ug/l","U","U","","","",0.182,0.182,1,"ug/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","copper","TOTAL",NA,"ug/l","U","U","","","",0.652,0.652,1,"ug/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","lead","TOTAL",NA,"ug/l","U","U","","","",0.405,0.405,1,"ug/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","calcium","TOTAL",35200,"ug/l","","","","","",71.1,NA,1000,"ug/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","nickel","TOTAL",1.1,"ug/l","","","","","",0.45,NA,1,"ug/l","13-EBCR-16.3_2017-07-25"
"13-EBCR-16.3","2017-07-25","13ECBR-16.3_07252017_WS","field","WS","N","N","","silver","TOTAL",NA,"ug/l","U","U","","","",0.131,0.131,1,"ug/l","13-EBCR-16.3_2017-07-25"
