SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_TYPE_DPRTMNT_INTRST_IND,SITE_TYPE_EXTRNL_SUGG_IND,SITE_TYPE_LNG_TRM_TRND_IND,SITE_TYPE_MLTPLT_IND,SITE_TYPE_PROBABILISTIC_IND,SITE_TYPE_RAS_IND,SITE_TYPE_REFERENCE_IND,SITE_TYPE_RMN_IND,SITE_TYPE_SPCL_STDY_IND,SITE_TYPE_UNASSD_PWL_IND,EVENT_BASELINE,EVENT_EXTENT,DISCH_COLLECT_IND,TOTAL_DISCH,SEI_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_TYPE,SEIH_WATER_CHEM_COLLECT_IND,SEIH_CHEM_QAQC_IND,SEIH_CHEM_QAQC_TYPE,SEIH_CHEM_SAMP_LOC,SEIH_CHEM_SAMP_EQUP,SEIH_MICROTOX_IND,SEIH_ORG_FOR_TOXICS_IND,SEIH_DEPTH,SEIH_DEPTH_QLFR,SEIH_WIDTH,SEIH_WIDTH_QLFR,SEIH_SPEED_OF_STREAM_CURRENT,SEIH_SPD_OF_STRM_CURRENT_QLFR,SEIH_SECCHI,SEIH_SECCHI_QLFR,SEIH_ALGAE_DIATOMS_PRESENT,SEIH_THICKNESS_DIATOMS_PRESENT,SEIH_ALGAE_SUSPENDED_IND,SEIH_ALGAE_FILAMENTOUS_IND,MFDH_MACROPHYTES,SEIH_CANOPY,SEIH_EMBEDDEDNESS,SEIH_EMBEDDEDNESS_QLFR,SEIH_ROCK,SEIH_RUBBLE,SEIH_GRAVEL,SEIH_SAND,SEIH_SILT,SEIH_CLAY,SEIH_LAND_USE,SEIH_YSI_METER_ID,SEIH_TEMPERATURE,SEIH_CONDUCTANCE,SEIH_DISSOLVED_OXYGEN,SEIH_PH,SEIH_PCT_SATURATION,SEIH_SALINITY,SEIH_Chl_ugL,SEIH_Chl_RFU,SEIH_PC_ugL,SEIH_PC_RFU,SEIH_GENERAL_COMMENT,CHEM_RESULT_RCVD_IND,CHEM_RESULT_RCVD_NOTE,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
8155,07-CAYG-1.1_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.2,,20,,58,,0,,40,1,FALSE,TRUE,0,58,0.45,,10,30,50,5,,5,Forest,,21.9,510,8,7.9,92,0.3,,,,,,,,,,,
8156,07-CAYG-4.1_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,15,,67,,0,,100,2,FALSE,TRUE,0,42,25,,5,50,40,,5,,Forest,,20.8,520,9.5,8.2,107,0.3,,,,,,,,,,,
8157,07-CAYG_T27-0.8_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,2,,32,,0,,0,,FALSE,FALSE,0,97,10,,0,50,30,5,10,5,Forest,,13.2,494,8.1,7.7,77,0.2,,,,,,,,,,,
8158,07-CAYG_T41-1.0_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,0.5,,10,,0,,0,,FALSE,FALSE,0,97,0.25,,20,25,35,5,5,,Forest,,16.100000000000001,363,8.1,8,82,0.2,,,,,,,,,,,
8159,07-DRYO-0.8_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,12,,45,,0,,100,1,FALSE,TRUE,0,86,25,,10,60,20,5,5,0,Forest,,25,263,6.9,7.8,82,0.1,,,,,,,,,,,
8160,07-DUCH-8.3_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,2,,40,,0,,100,2,FALSE,TRUE,0,65,30,,15,35,45,5,0,0,Residential,,18.7,519,9,7.8,96.1,0.25,,,,,,,,,,,
8161,07-ENFD-0.2_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,18,,37,,0,,100,3,FALSE,TRUE,0,32,50,,30,40,20,5,,5,Forest,,20.9,453,9.4,8.3,105,0.2,,,,,,,,,,,
8162,07-FALL-1.2_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.2,,25,,83,,0,,100,2,FALSE,TRUE,0,3,25,,25,40,20,0,10,5,Forest,,24,418,8.9,8.6,105,0.2,,,,,,,,,,,
8163,07-FURB-1.1_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,5,,35,,0,,50,2,FALSE,TRUE,0,95,60,,20,35,35,10,0,0,Commercial,,12.1,1550,11.9,7.9,112,0.79,,,,,,,,,,,
8164,07-GEDD-1.4_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.3,,3,,25,,0,,0,,FALSE,FALSE,0,75,,,,,,,,,Commercial,,18.03,2267,8.18,7.67,87,1.17,,,,,,,,,,,
8165,07-HARB-0.5_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,TRUE,FALSE,1,,3,,,,0,,100,3,FALSE,FALSE,20,3,,,,,,,,,Commercial,,18.71,2435,10.66,7.9,114.9,1.26,,,,,,,,,,,
8166,07-HENC_T4-1.2_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.2,,0.8,,0,,0,,10,1,FALSE,FALSE,0,0,,,0,25,35,20,10,10,Agriculture,,16.399999999999999,406,4.2,7.5,42,0.2,,,,,,,,,,,
8167,07-LEY-2.1_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,TRUE,FALSE,0.2,,5,,55,,0,,100,2,FALSE,TRUE,0,72,30,,25,40,25,5,5,,Commercial,,24.5,2079,6.9,7.7,85,1.06,,,,,,,,,,,
8168,07-LEY_S-1.6_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.2,,2,,45,,0,,50,1,FALSE,TRUE,20,0,30,,0,30,50,20,,,Commercial,,24.2,2597,8,7.84,97,1.34,,,,,,,,,,,
8169,07-LIME_E-0.2_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.18,,4,,70,,0,,100,2,FALSE,TRUE,0,58,25,,20,30,40,8,2,,Agriculture,,23.2,450,8.9,8.3,107,0.22,,,,,,,,,,,
